pr_gene_symbol	AKT1_TRCN00002887872.0	CDC42_TRCN00002999312.0	DDR1_TRCN00001212932.0	DNMT3A_TRCN00000357542.0	EZH2_TRCN00000104752.0	HDAC2_TRCN00000048192.0	HDAC6_TRCN00000048402.0	MEF2C_TRCN00000158172.0	NCOA3_TRCN00000197032.0	RFC2_TRCN00000742282.0	RPS6_TRCN00000104301.000000	TP53_TRCN00003422592.0	AKT1_TRCN00002887872.0	CDC42_TRCN00002999312.0	DDR1_TRCN00001212932.0	DNMT3A_TRCN00000357542.0	EZH2_TRCN00000104752.0	HDAC2_TRCN00000048192.0	HDAC6_TRCN00000048402.0	MEF2C_TRCN00000158172.0	NCOA3_TRCN00000197032.0	RFC2_TRCN00000742282.0	RPS6_TRCN00000104301.000000	TP53_TRCN00003422592.0	AKT1_TRCN00002887872.0	CDC42_TRCN00002999312.0	DDR1_TRCN00001212932.0	DNMT3A_TRCN00000357542.0	EZH2_TRCN00000104752.0	HDAC2_TRCN00000048192.0	HDAC6_TRCN00000048402.0	MEF2C_TRCN00000158172.0	NCOA3_TRCN00000197032.0	RFC2_TRCN00000742282.0	RPS6_TRCN00000104301.000000	TP53_TRCN00003422592.0
AKT1	-0.20367468196726896	0.1565618396590409	0.14128544315973612	0.10175504370518153	0.1636622601611121	0.1344875042984704	0.19573251753211854	0.16271082819139773	0.14505756994378333	0.14651005459621785	-0.12844392891011908	0.13567220616890158	-0.0684444826821293	0.16015733755684478	0.15965526747063477	0.15607208277440746	0.18946827909718297	0.1416298628910973	0.14383498580957782	0.18657244401510206	0.10953467500606671	0.1456379261943602	-0.13661824508360187	0.11305141132005062	-0.12325093758487196	0.17134861701141374	0.17290665176275724	0.16034503782052842	0.18816775308231815	0.12646378872744432	0.18747580241016917	0.1464982039573746	0.16075534447536435	0.182615237797969	-0.14788305440336386	0.1517824987614698
CDC42	-0.028753968296906244	-0.5612228708906557	-0.16584908434196696	-0.10330818960977971	-0.10328812921268292	-0.17002001266199013	-0.03474000216231119	-0.07232082352824203	-0.15046601251994374	-0.14544033619372532	-0.14891442726250645	-0.15785397374854113	-0.3787564581686514	-0.5935422275104355	-0.1616018366498054	-0.1500322609265322	-0.09840171086852607	-0.1699872268229783	-0.18298299700132287	-0.09549364432318821	-0.062076435919863754	-0.14763077235723393	0.07974472034033273	-0.15472663316441576	-0.279653150693067	-0.5901146291707893	-0.06590084635542601	-0.0933808974977162	-0.12932608121714328	-0.04224640438778535	-0.0693952864260626	-0.11559730901047098	-0.09321238691075316	-0.09339866331493578	0.0679991166444034	-0.11592595772070569
DDR1	0.18516357536009784	0.19520059111704016	-0.2289369916170695	0.051326604817538105	0.14732276693034663	0.12622592976913735	0.004108191654315042	0.09653795809378847	0.2584453601596918	0.14307618583080625	-0.048933785090054166	0.1697421232700605	0.2128727284550331	0.1862651455815419	-0.3044856227760534	0.2008681353562288	0.07808857514712174	0.14046496520167148	0.07936830931077792	0.1865571902925499	0.2829224816521862	0.11904266228201124	-0.10809408839407976	0.13744240949768166	0.12164768063053902	0.204186396588862	-0.25918007284530553	0.05499703284506187	0.03262041536361336	0.06368283979312857	0.021426862935626106	0.1568793792184584	0.20260385228635325	0.08613820014901062	-0.06900606583075618	0.13202354534964833
DNMT3A	-0.15321685227555612	-0.15302539995705355	-0.11594229261165864	-0.16458046663797174	-0.2000656659298307	-0.15615089982211086	-0.20776961075307304	-0.19213615641983575	-0.07130854174350758	-0.1545079634501302	0.2587761269799335	-0.061064166737201296	-0.1509102634884629	-0.032698048526756285	-0.09550884006003205	0.03467692325929668	-0.15018517087073585	-0.16463263925168753	-0.13172219001467286	-0.10244752575460978	0.03690948155980999	0.11414228504926739	0.057402100043541994	0.05190814260735883	-0.08107078491302852	-0.11887416605515778	-0.07605227101223035	-0.2384943108362995	-0.11133655010282793	-0.0991583784617337	-0.1373424117473072	-0.11765906838609325	0.020385802076388074	-0.14214786658014844	0.05793589075798411	-0.04582695157970682
EZH2	0.11263857824071248	0.0793122907820351	0.10418231616024515	0.19079747040213832	-0.4103240171177586	0.12712318432505748	0.16334382202903142	0.1612643150973555	0.09154119743927454	0.23111322059016023	-0.24941188775186462	0.11740362368190739	0.11442186465883164	0.15054104644069516	0.1551637732461655	0.183874384846093	-0.4377065022804152	0.17592905856201668	0.17866551091901062	0.21926721892722856	0.16372743037811857	0.2291290749637962	-0.15406447760057834	0.12540392776773507	0.16959753727965954	0.12707485261526616	0.16363803410804945	0.20926665558943275	-0.42929220851256666	0.14046224365468143	0.17351959988431173	0.21823450989004017	0.0769228237292113	0.2174005721625405	-0.18458321686967757	0.09611970335456263
HDAC2	0.056466103005201045	0.04145670710418324	0.053356779732694364	0.051408229233764854	-0.016512705554929685	-0.49307505149839304	0.07325055675463099	0.0729548435268145	0.025010940308219626	0.038302010438257844	-0.06323554790022645	0.041852736789912394	0.09582146910907999	0.14795866613767714	0.07901253907045834	0.08964050235586236	0.046358302451259534	-0.4892004804163978	0.09338154739336071	0.11044094611527575	0.06245052074149553	0.07292146619988374	-0.0611556499438905	0.06616001071759822	0.09476723593971526	0.06900380698944582	0.10559370752966928	0.10738481522966016	0.037499337902973315	-0.5870088168077582	0.12266517237442037	0.1136118437595207	0.049690380180631634	0.10898885584377532	-0.05743612666050579	0.0659653776595766
HDAC6	0.05747845885145523	0.12700349550125284	0.005713356035249403	0.07693759140488053	0.0395990266684122	0.06790223964728195	-0.11612954165065116	0.018020375718321487	0.010061779233530924	0.024321098490669758	-0.18003913126984797	-0.06882945593951177	0.03242389989741172	0.1038166501584332	-0.006358034695339035	0.05711662985262046	0.06165893444628448	0.02728020835286315	-0.11114413146422762	0.0559246561245495	-0.011647408798088737	-0.008426724267022163	-0.007151679331649691	-0.1077361714737597	0.06647695392271101	0.1826478239964574	0.04124408715466867	0.08305593661824068	0.06204213056920547	0.04558083328989146	-0.0872082328243231	0.0025737105144658574	0.02788577459400516	0.01579501114797485	-0.08771588778497424	-0.04140489076239782
MEF2C	0.4296983821246039	0.3393849121050041	0.3374386885443806	0.2544786298784444	0.3811737718738165	0.3342013330791267	0.28133585496574254	0.284579000146923	0.2847704257398034	0.37376004479669783	-0.14953815479535376	0.36284445718694874	0.33474986703615595	0.29510152870210965	0.2798094834934313	0.26121696307595005	0.3863765872488732	0.2842862821308804	0.28787373386466647	0.2531905288255873	0.28166402271368807	0.3280124791325681	0.17366401049078792	0.33365605809651344	0.30408820291553407	0.355202845023433	0.3311422599094698	0.2563765659926125	0.30535917659376655	0.3234931906874509	0.2971057707492116	0.2808923204116452	0.29347536866272617	0.3407523792800448	0.0007590919873264699	0.3428782004065208
NCOA3	0.18912137946418262	0.20109579058015925	0.11181033128790166	0.1040553068248147	0.20761512370180288	0.09858465513879477	0.15285429881554133	0.07736752984146178	-0.24697974811318965	0.08338664389847708	0.03920087283510947	0.042498014871558965	0.15005769907401414	0.22611747012394276	0.1276157173483853	0.0400358035064414	0.2374732408939517	0.2241754217082767	0.21191273995071455	0.08495024519747724	-0.210527694797385	0.0995745438334757	0.018655361373557607	0.10306848883508976	0.1680369630240676	0.2496031694090982	0.16150727998492714	0.04042317689616827	0.2599847967838552	0.07574609305578402	0.2033500618999257	0.12066902739311444	-0.21113835958246233	0.05113318970581451	0.004841862241065486	0.07837922764344823
RFC2	0.11745897607511575	0.09555830205230258	0.14407471755817244	0.1534733843013634	0.10397593701640012	0.0024062736381326015	0.09944425519839295	0.14772667563930428	-0.007300701220357918	-0.4366943458129135	-0.07967230719789542	0.14586209361664085	0.03246636822096656	0.1381382369691462	0.14559297249325068	0.16999781726324723	0.10259171466025702	0.11950759027111642	0.1409202120799052	0.14053169630762277	-0.043526968504342116	-0.5813945637618446	0.01108532050205675	0.1329803198187688	0.16826368199607905	0.1071899881273543	0.16343354460591064	0.16552937251578942	0.11602626106130327	0.15860613641949925	-0.016995497021277308	0.16912275237622393	-0.06271335829269677	-0.36340718003307293	0.02345584712725702	0.14513111189774622
RPS6	0.13520834323578745	0.13774966902533206	0.13774489939753803	0.12628124202840144	0.13774489939753803	0.1332093753232231	0.12570596165816803	0.13531584488433615	0.13774003802990611	0.12953828339756288	-0.3017825301732243	0.1284658824107955	0.13612653518746926	0.13774003802990611	0.13774003802990611	0.1294722330259864	0.12765734043561677	0.13714673647597084	0.12521132012678501	0.12886426155907266	0.13687729866976817	0.11962836043095837	-0.2626136280568159	0.12811559447892998	0.13115437574390368	0.13438426544876741	0.13774966902533206	0.12938994257836037	0.13774003802990611	0.1322456818526987	0.13774489939753803	0.13774810972567286	0.12890136170954436	0.13005403648108096	-0.3124392803289704	0.1377463669770002
TP53	0.0771999280748548	0.13528539735100306	0.057783329719476806	0.02581283707438356	0.06985560816290964	0.10227136821115154	0.12786953914319105	0.13066354785166942	-0.015337743572973801	0.036121039447264094	-0.26129105947827314	0.007217958844866007	0.07430046440693024	0.007960830846313788	0.0469879125210361	0.020860021628377724	0.018045320024646715	0.102358869636615	0.2440690135316079	0.032828441077386764	0.032132439842857935	-0.02925245938736684	0.018752338081547307	0.06646925352185143	0.13712094314962572	0.08254703894660358	0.06610566835997513	0.023066125835618574	0.08059399393620302	0.13263583078015131	0.04853796152452749	0.14940169849477566	-0.012666560949441205	0.0802245846861699	-0.0923914033812359	0.13055060941994734
